house,state,work_type,work_id,ida,mp,constituency,district,fy,exp_date_str,vendor,pay_status,amount
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257675,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,26-Feb-2026,SHIKHA MATHUR,Payment Success,963498.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257675,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,08-Jul-2026,SHIKHA MATHUR,Payment Success,328040.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257673,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,08-Jul-2026,SHIKHA MATHUR,Payment Success,439961.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257670,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,08-Jul-2026,SHIKHA MATHUR,Payment Success,391760.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2024-2025/168114,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2024-2025,08-Jul-2026,SHIKHA MATHUR,Payment Success,216210.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257669,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,08-Jul-2026,SHIKHA MATHUR,Payment Success,168268.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257671,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-Apr-2026,SHIKHA MATHUR,Payment Success,671674.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257669,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-Apr-2026,SHIKHA MATHUR,Payment Success,474504.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257673,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,18-Apr-2026,SHIKHA MATHUR,Payment Success,1312512.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/258782,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,17-May-2026,SHIKHA MATHUR,Payment Success,201187.0
